timestamp,total_decisions,blocked_count,allowed_count,avg_decision_delay
1789652478.4114347,55790,0,55790,1.716
1789652478.4172318,55800,0,55800,1.716
1789652478.4227853,55810,0,55810,1.717
1789652478.4289594,55820,0,55820,1.717
1789652478.4344528,55830,0,55830,1.717
1789652478.4414458,55840,0,55840,1.718
1789652478.451066,55850,0,55850,1.718
1789652478.46,55860,0,55860,1.718
1789652478.4677904,55870,0,55870,1.719
1789652478.4742665,55880,0,55880,1.719
1789652478.7076142,55890,0,55890,1.719
1789652478.7142599,55900,0,55900,1.719
1789652478.7240598,55910,0,55910,1.719
1789652478.7340894,55920,0,55920,1.718
1789652478.7591636,55930,0,55930,1.718
1789652478.7698412,55940,0,55940,1.718
1789652478.7797458,55950,0,55950,1.717
1789652478.7866004,55960,0,55960,1.717
1789652478.7991452,55970,0,55970,1.717
1789652478.8090107,55980,0,55980,1.716
1789652478.8205724,55990,0,55990,1.716
1789652478.827778,56000,0,56000,1.716
1789652478.834145,56010,0,56010,1.716
1789652478.8404531,56020,0,56020,1.715
1789652478.8481672,56030,0,56030,1.715
1789652478.8556015,56040,0,56040,1.715
1789652478.891141,56050,0,56050,1.714
1789652478.9013972,56060,0,56060,1.714
1789652478.9137647,56070,0,56070,1.714
1789652478.9257433,56080,0,56080,1.713
1789652478.9448519,56090,0,56090,1.713
1789652478.963464,56100,0,56100,1.713
1789652478.9778743,56110,0,56110,1.712
1789652478.9919908,56120,0,56120,1.712
1789652479.0265858,56130,0,56130,1.712
1789652479.037813,56140,0,56140,1.712
1789652479.0522869,56150,0,56150,1.711
1789652479.0614297,56160,0,56160,1.711
1789652479.0724378,56170,0,56170,1.711
1789652479.085954,56180,0,56180,1.71
1789652479.0999088,56190,0,56190,1.71
1789652479.1120965,56200,0,56200,1.71
1789652479.1235404,56210,0,56210,1.709
1789652479.1453424,56220,0,56220,1.709
1789652479.1546717,56230,0,56230,1.709
1789652479.1663072,56240,0,56240,1.708
1789652479.1778383,56250,0,56250,1.708
1789652479.1857383,56260,0,56260,1.708
1789652479.1946743,56270,0,56270,1.708
1789652479.2044468,56280,0,56280,1.707
1789652479.2134671,56290,0,56290,1.707
1789652479.2218654,56300,0,56300,1.707
1789652479.231965,56310,0,56310,1.706
1789652479.2419183,56320,0,56320,1.706
1789652479.2641246,56330,0,56330,1.706
1789652479.2738311,56340,0,56340,1.705
1789652479.2872367,56350,0,56350,1.705
1789652479.2946901,56360,0,56360,1.705
1789652479.303961,56370,0,56370,1.705
1789652479.3131247,56380,0,56380,1.704
1789652479.3209398,56390,0,56390,1.704
1789652479.330056,56400,0,56400,1.704
1789652479.340722,56410,0,56410,1.703
1789652479.3583393,56420,0,56420,1.703
1789652479.3704553,56430,0,56430,1.703
1789652479.410151,56440,0,56440,1.702
1789652479.4322476,56450,0,56450,1.702
